                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.0255,                0.48123,                 1.4294,                0.97603,                0.95477,                0.97917,                0.68795,                 1.1396,                0.40396,                 1.5838,               0.003565,               0.003565,               0.003565
                     68,                 1.0239,                0.47771,                 1.4266,                 0.9747,                0.95786,                0.97928,                 0.6889,                 1.1389,                0.40355,                 1.5832,               0.003466,               0.003466,               0.003466
                     69,                 1.0226,                0.47789,                 1.4253,                0.97611,                0.95814,                0.97991,                0.68956,                 1.1384,                0.40325,                 1.5828,               0.003367,               0.003367,               0.003367
                     70,                 1.0154,                0.47428,                 1.4202,                0.97611,                 0.9582,                0.98029,                 0.6906,                 1.1377,                0.40271,                 1.5823,               0.003268,               0.003268,               0.003268
                     71,                 1.0136,                0.47143,                 1.4172,                0.97611,                0.95814,                0.98032,                0.69117,                 1.1373,                0.40216,                 1.5816,               0.003169,               0.003169,               0.003169
                     72,                 1.0042,                0.46597,                  1.414,                0.97553,                0.95779,                0.97975,                0.69143,                 1.1366,                0.40179,                 1.5811,                0.00307,                0.00307,                0.00307
                     73,                 1.0051,                0.46908,                 1.4152,                0.97492,                0.95732,                0.97935,                0.69153,                 1.1363,                0.40179,                  1.581,               0.002971,               0.002971,               0.002971
                     74,                 1.0116,                0.46466,                 1.4159,                0.97469,                0.95735,                0.97944,                0.69123,                 1.1361,                0.40134,                 1.5807,               0.002872,               0.002872,               0.002872
                     75,                 1.0017,                0.45936,                 1.4088,                0.97512,                0.95779,                0.97996,                0.69133,                 1.1357,                0.40079,                 1.5805,               0.002773,               0.002773,               0.002773
                     76,                 1.0037,                0.46615,                  1.406,                0.97483,                0.95779,                0.97998,                0.69203,                 1.1352,                0.40012,                   1.58,               0.002674,               0.002674,               0.002674
                     77,                0.99838,                0.45817,                 1.4059,                0.97517,                0.95779,                0.98009,                0.69272,                 1.1344,                0.40005,                 1.5792,               0.002575,               0.002575,               0.002575
                     78,                0.99407,                0.45713,                 1.4029,                0.97416,                0.95872,                0.98024,                 0.6933,                 1.1337,                0.39948,                 1.5787,               0.002476,               0.002476,               0.002476
                     79,                0.99581,                 0.4551,                 1.4078,                0.97472,                0.95842,                0.98035,                0.69344,                 1.1332,                0.39916,                 1.5785,               0.002377,               0.002377,               0.002377
                     80,                0.99355,                0.45242,                 1.4006,                0.97566,                0.95885,                0.98021,                0.69363,                 1.1327,                0.39855,                  1.578,               0.002278,               0.002278,               0.002278
                     81,                0.98787,                0.45181,                 1.3943,                0.97642,                0.95872,                0.98042,                0.69406,                 1.1322,                0.39785,                 1.5775,               0.002179,               0.002179,               0.002179
                     82,                0.98308,                0.44895,                 1.4029,                0.97658,                0.95854,                0.98073,                0.69457,                 1.1319,                0.39714,                 1.5772,                0.00208,                0.00208,                0.00208
                     83,                0.98136,                0.44755,                 1.3933,                0.97692,                0.95826,                0.98066,                0.69397,                 1.1312,                0.39624,                 1.5766,               0.001981,               0.001981,               0.001981
                     84,                 0.9789,                0.44502,                 1.3858,                0.97744,                0.95826,                0.98069,                  0.694,                 1.1308,                0.39568,                 1.5763,               0.001882,               0.001882,               0.001882
                     85,                0.97327,                0.44168,                 1.3887,                0.97751,                0.95796,                0.98069,                0.69426,                 1.1304,                0.39513,                 1.5762,               0.001783,               0.001783,               0.001783
                     86,                0.97094,                0.43948,                 1.3848,                0.97817,                0.95826,                0.98107,                 0.6947,                 1.1302,                0.39438,                  1.576,               0.001684,               0.001684,               0.001684
